"","parque","idade","sexo","escolar","renda","infraestrutura","sombra","temperatura","lance1","lance2","resp1","resp2"
"144","13demaio",30,1,0,1500,0,1,1,57,62,"1","1"
"145","13demaio",59,1,0,998,1,1,0,56,62,"1","1"
"146","13demaio",40,0,0,998,1,1,1,51,68,"1","1"
"147","13demaio",26,1,0,1080,1,1,1,18,59,"1","0"
"148","13demaio",22,0,0,384,0,1,0,53,59,"1","0"
"149","13demaio",58,0,0,170,0,1,0,38,51,"1","0"
"150","13demaio",48,0,0,200,0,0,1,50,65,"1","1"
"151","13demaio",34,1,0,1000,1,1,1,48,68,"1","1"
"152","13demaio",26,1,0,15000,1,0,1,33,34,"1","1"
"153","13demaio",55,1,0,1300,1,1,1,48,56,"1","1"
"154","13demaio",28,1,0,400,1,1,1,37,19,"0","0"
"155","13demaio",34,0,0,998,1,1,1,12,22,"1","0"
"156","13demaio",41,1,0,1000,0,1,1,44,22,"0","0"
"157","13demaio",40,1,0,91,1,1,0,16,60,"1","0"
"158","13demaio",57,0,1,2500,0,1,0,10,13,"1","0"
"159","13demaio",53,0,1,5000,0,1,0,12,20,"1","0"
"160","13demaio",36,0,0,1000,0,1,0,3,31,"1","0"
"161","13demaio",36,0,0,1500,0,0,0,24,13,"0","0"
"162","13demaio",64,0,0,998,1,1,1,25,21,"0","0"
"163","13demaio",28,0,0,91,1,1,1,63,33,"0","0"
"164","13demaio",42,1,0,1100,1,1,1,38,64,"1","1"
"165","13demaio",46,0,0,500,1,1,1,65,66,"1","0"
"166","13demaio",38,1,0,998,1,1,1,47,22,"0","0"
"167","13demaio",42,1,0,700,1,1,1,69,70,"1","1"
"168","13demaio",63,1,0,600,1,1,1,33,48,"1","1"
"169","13demaio",54,0,1,3000,0,1,0,37,66,"1","1"
"170","13demaio",20,1,0,250,1,1,0,8,2,"0","0"
"171","13demaio",20,1,0,1200,0,1,1,33,35,"1","0"
"172","13demaio",33,1,0,1500,0,1,0,21,40,"1","1"
"173","13demaio",30,0,0,253,1,0,0,54,26,"0","1"
"174","13demaio",31,1,0,998,1,1,1,39,68,"1","1"
"175","13demaio",31,1,1,1000,0,1,0,22,31,"1","0"
"176","13demaio",34,1,1,3000,0,0,0,7,4,"0","0"
"177","13demaio",65,1,1,15000,0,1,1,20,67,"1","1"
"178","13demaio",54,0,0,998,0,1,1,60,49,"0","0"
"179","13demaio",23,1,0,1000,0,1,1,44,61,"1","1"
"180","13demaio",28,0,0,1300,0,1,1,12,25,"1","1"
"181","13demaio",52,1,0,2000,0,1,1,50,32,"0","0"
"182","13demaio",21,0,0,1500,0,0,0,39,9,"0","0"
"183","13demaio",40,1,0,998,1,1,1,20,3,"0","0"
"184","13demaio",28,0,0,998,1,1,1,51,45,"0","0"
"185","13demaio",51,1,0,2300,0,1,1,2,23,"1","1"
"186","13demaio",21,0,0,1075,0,1,1,13,18,"1","1"
"187","13demaio",34,1,0,2000,1,1,1,25,57,"1","1"
"188","13demaio",32,0,0,370,0,1,1,48,67,"1","0"
"189","13demaio",71,1,0,2000,0,1,1,21,13,"0","0"
"190","13demaio",28,0,0,1225,1,1,1,23,44,"1","0"
"191","13demaio",45,1,1,2000,0,1,1,44,64,"1","0"
"192","13demaio",40,1,0,1800,1,1,1,51,9,"0","0"
"193","13demaio",19,0,1,700,0,0,0,16,11,"0","0"
"194","13demaio",25,1,0,1000,0,1,1,20,61,"1","1"
"195","13demaio",42,1,1,2000,0,0,1,25,1,"0","0"
"196","13demaio",47,1,1,2000,0,0,1,15,48,"1","1"
