"","resp1","resp2","lance1","lance2","idade","sexo","escolar","infraestrutura","temperatura","renda","objetivo"
"1034",1,0,30,40,59,1,16,NA,NA,2385,7
"1035",0,0,43,40,45,1,22,NA,NA,4270,3
"1036",0,0,21,17,41,1,20,NA,NA,8500,2
"1037",0,0,6,4,70,1,20,NA,NA,2385,2
"1038",0,0,21,17,60,1,20,NA,NA,8500,7
"1039",0,0,22,14,29,1,20,NA,NA,4270,3
"1040",0,0,12,9,49,2,20,NA,NA,2385,3
"1041",0,0,21,17,39,1,22,NA,NA,8500,3
"1042",0,0,21,17,55,1,22,NA,NA,1431,7
"1043",0,0,31,22,27,2,22,NA,NA,4270,7
"1044",0,0,23,16,72,2,20,NA,NA,2385,7
"1045",0,0,2,1,37,1,17,NA,NA,1431,3
"1046",0,0,49,44,62,2,20,NA,NA,8500,2
"1047",0,0,4,3,36,1,20,NA,NA,2385,2
"1048",0,0,29,19,25,1,17,NA,NA,1431,3
"1049",0,0,13,10,28,2,16,NA,NA,954,7
"1050",0,0,17,14,33,1,20,NA,NA,1431,3
"1051",0,0,13,10,48,2,16,NA,NA,954,7
"1052",0,0,44,41,71,2,20,NA,NA,4270,2
"1053",0,0,49,44,70,1,18,NA,NA,2385,7
"1054",0,0,17,14,50,1,16,NA,NA,1431,2
"1055",0,0,18,15,35,2,22,NA,NA,8500,3
"1056",1,0,5,7,51,2,17,NA,NA,1431,7
"1057",1,1,1,3,48,2,13,NA,NA,954,7
"1058",1,0,33,41,48,1,13,NA,NA,1431,7
"1059",1,0,8,10,23,1,7,NA,NA,954,2
"1060",0,0,40,35,38,2,22,NA,NA,2385,2
"1061",1,0,18,21,59,1,17,NA,NA,2385,2
"1062",1,0,18,26,55,2,20,NA,NA,2385,2
"1063",1,1,38,44,19,1,20,NA,NA,477,2
"1064",0,0,43,40,43,1,22,NA,NA,4270,2
"1065",1,0,13,16,31,1,18,NA,NA,1431,2
"1066",1,0,25,35,35,1,16,NA,NA,954,3
"1067",1,1,37,43,52,2,19,NA,NA,954,2
"1068",1,0,38,44,55,1,15,NA,NA,1431,2
"1069",1,0,16,19,55,2,17,NA,NA,954,2
"1070",0,0,10,8,30,1,22,NA,NA,4270,7
"1071",1,1,5,7,21,1,17,NA,NA,477,3
"1072",0,0,28,17,59,1,15,NA,NA,954,7
