ID;parque;idade;sexo;cidade;estadocivil;escolar;ocupacao;renda;qdepend;objetivo;freqvis;infraestrutura;tamanho;sombra;temperatura;lance1;resp1;lance2;resp2;bidl;bidh
86;13demaio;18;2;olinda;1;16;3;600;0;7;4;2;4;5;3;23;0;18;1;0;43
87;13demaio;58;2;recife;3;19;6;1200;0;7;2;3;4;5;5;8;1;26;0;3;26
88;13demaio;24;3;recife;1;14;2;250;0;2;2;5;2;4;5;33;1;36;1;6;36
89;13demaio;67;1;recife;2;15;3;4000;2;7;3;1;3;4;3;61;0;57;0;57;46
90;13demaio;49;1;recife;1;26;2;25000;5;7;20;1;5;1;1;35;0;2;0;2;41
91;13demaio;70;1;camaragibe;2;16;3;6000;0;7;20;4;4;4;4;46;0;27;0;27;12
92;13demaio;45;1;recife;1;20;2;2300;0;1;20;2;4;4;4;45;0;34;0;34;30
93;13demaio;44;1;recife;1;20;6;5000;0;7;4;3;4;3;4;39;0;1;1;1;54
94;13demaio;40;1;recife;2;16;2;5000;2;4;1;3;5;5;4;30;1;59;0;5;59
95;13demaio;43;2;camutanga;2;10;0;200;2;4;1;4;5;4;4;55;1;60;1;7;60
96;13demaio;20;2;olinda;1;16;2;600;0;7;4;2;5;4;3;30;1;58;1;5;58
97;13demaio;65;1;recife;2;12;3;998;0;4;1;4;4;5;4;34;0;26;1;26;15
98;13demaio;58;1;jaboatao;2;20;1;11000;0;3;8;4;4;4;4;1;1;58;1;1;58
99;13demaio;39;1;recife;1;16;6;4000;0;3;24;2;4;4;4;55;1;63;1;7;63
100;13demaio;19;1;recife;1;16;0;2000;0;3;30;4;3;4;4;25;1;47;1;5;47
101;13demaio;21;1;igarassu;1;17;2;1500;0;3;10;3;3;4;4;18;1;63;1;4;63
102;13demaio;30;1;recife;1;16;2;1433;1;3;22;3;4;4;4;53;0;45;0;45;48
103;13demaio;40;1;recife;2;16;2;2500;2;3;10;4;5;4;5;22;0;21;0;21;28
104;13demaio;24;1;recife;1;16;2;2500;0;3;20;4;4;4;4;50;1;51;1;7;51
105;13demaio;26;1;camaragibe;1;20;1;15000;0;7;4;4;4;5;4;19;1;53;1;4;53
106;13demaio;52;1;recife;2;12;6;3800;3;3;22;4;4;4;4;13;1;62;0;4;62
107;13demaio;53;2;abreu e Lima;3;16;2;1000;0;3;6;3;5;3;4;51;1;54;1;7;54
108;13demaio;28;2;paulista;1;20;1;1300;0;2;4;3;4;4;4;26;1;35;0;5;35
