"";"parque";"idade";"sexo";"cidade";"escolar";"renda";"infraestrutura";"sombra";"temperatura";"lance1";"lance2";"resp1";"resp2";"bidl";"bidh";"lnRendat1";"lnRendat2";"lnRenda"
"55";"sitio da trindade";25;1;"recife";0;1800;0;1;1;17;68;"1";"0";4,12310562561766;68;7,49554719078407;7,49556293131834;3,25527250510331
"56";"sitio da trindade";46;0;"recife";1;1500;0;1;0;2;62;"1";"1";1,4142135623731;62;7,31322127597879;7,31324794226621;3,17609125905568
"57";"sitio da trindade";46;0;"recife";0;1500;1;1;1;67;68;"1";"1";8,18535277187245;68;7,31325016442473;7,31325060885584;3,17609125905568
"58";"sitio da trindade";38;0;"recife";0;1500;1;0;1;41;69;"1";"0";6,40312423743285;69;7,3132386091465;7,31325105328676;3,17609125905568
"59";"sitio da trindade";36;0;"recife";0;1500;1;1;1;42;66;"1";"0";6,48074069840786;66;7,31323905358275;7,31324971999342;3,17609125905568
"60";"sitio da trindade";27;0;"recife";1;1500;0;1;0;63;8;"0";"1";8;14,3166247903554;7,31324838669831;7,31322394263954;3,17609125905568
"61";"sitio da trindade";29;0;"recife";0;1400;1;1;0;68;26;"0";"0";26;16,605551275464;7,24426220887908;7,24424078082149;3,14612803567824
"62";"sitio da trindade";24;1;"recife";0;1400;1;1;1;4;1;"0";"1";1;14,3166247903554;7,24422955641759;7,2442280258073;3,14612803567824
"63";"sitio da trindade";28;0;"recife";0;1300;0;0;0;44;56;"1";"0";6,6332495807108;56;7,17014557861367;7,17015267899531;3,11394335230684
"64";"sitio da trindade";24;0;"recife";0;1300;1;1;1;4;63;"1";"0";2;63;7,17012191031073;7,17015682086133;3,11394335230684
"65";"sitio da trindade";51;1;"recife";0;1200;1;1;1;26;25;"0";"1";25;19;7,09009489116865;7,0900941967365;3,07918124604762
"66";"sitio da trindade";31;1;"recife";0;1000;1;1;1;67;69;"1";"1";8,18535277187245;69;6,90782227673774;6,90782427660175;3
"67";"sitio da trindade";22;1;"recife";1;1000;0;0;0;12;68;"1";"1";3,46410161513775;68;6,90776727891014;6,90782327667024;3
"68";"sitio da trindade";63;0;"recife";0;998;1;1;1;38;51;"1";"1";6,16441400296898;51;6,9057914280409;6,90580447961419;2,99913054128737
"69";"sitio da trindade";49;0;"recife";0;998;0;0;0;46;9;"0";"0";9;49,557438524302;6,90579945979847;6,90576231237893;2,99913054128737
"70";"sitio da trindade";46;1;"recife";0;998;0;0;0;44;20;"0";"1";20;10;6,90579745186512;6,9057733563505;2,99913054128737
"71";"sitio da trindade";32;1;"recife";0;998;0;1;1;15;18;"1";"1";3,87298334620742;18;6,90576833637854;6,90577134836474;2,99913054128737
"72";"sitio da trindade";62;1;"recife";0;980;1;1;0;68;69;"1";"1";8,24621125123532;69;6,88762337298988;6,88762441414844;2,99122607569249
"73";"sitio da trindade";22;1;"recife";0;800;0;0;0;31;15;"0";"1";15;27,7958315233127;6,68466016399487;6,68463516489327;2,90308998699194
"74";"sitio da trindade";53;0;"vitoria de santo antao";0;400;0;0;0;67;30;"0";"0";30;26,6904157598234;5,99188320945667;5,99165202953205;2,60205999132796
"75";"sitio da trindade";36;0;"recife";0;300;0;1;0;60;69;"1";"0";7,74596669241483;69;5,70444891919936;5,7045488475841;2,47712125471966
"76";"sitio da trindade";61;0;"recife";0;200;1;1;1;47;53;"1";"0";6,85565460040104;53;5,29949167677581;5,29964148951017;2,30102999566398
"77";"13demaio";25;0;"paulista";1;1500;1;1;1;63;39;"0";"1";39;9,64575131106459;7,31324838669831;7,31323772027341;3,17609125905568
"78";"13demaio";30;0;"olinda";0;1300;0;1;1;54;37;"0";"0";37;34,3851648071345;7,17015149560187;7,17014143670109;3,11394335230684
"79";"13demaio";71;0;"recife";0;1780;0;1;1;9;6;"0";"0";6;52,7823299831253;7,48437148383253;7,48437053698463;3,25042000230889
"80";"13demaio";42;1;"recife";0;1200;1;1;1;19;52;"1";"0";4,35889894354067;52;7,09009003013349;7,09011294623521;3,07918124604762
"81";"13demaio";27;0;"olinda";0;244;0;1;1;70;23;"0";"0";23;3;5,49834329383418;5,49755447157199;2,38738982633873
"82";"13demaio";32;0;"olinda";0;650;1;1;1;19;4;"0";"0";4;43,0827625302982;6,47701733229275;6,47698183030049;2,81291335664286
"83";"13demaio";42;0;"camutanga";0;300;1;0;0;43;25;"0";"0";25;15,4641016151378;5,70426013833452;5,70406021386087;2,47712125471966
"84";"13demaio";31;0;"recife";0;998;1;1;1;9;45;"1";"1";3;45;6,90576231237893;6,9057984558323;2,99913054128737
"85";"13demaio";33;0;"recife";0;1500;0;0;0;65;56;"0";"1";0;37,6568542494924;7,31324927556191;7,31324569243334;3,17609125905568
"86";"13demaio";18;0;"olinda";0;600;0;1;0;23;18;"0";"1";0;43,0827625302982;6,39699354206423;6,39698022107233;2,77815125038364
"87";"13demaio";58;0;"recife";0;1200;0;1;1;8;26;"1";"0";2,82842712474619;26;7,09008239131621;7,09009489116865;3,07918124604762
"88";"13demaio";24;0;"recife";0;250;1;1;1;33;36;"1";"1";5,74456264653803;36;5,52198877851929;5,52203675203792;2,39794000867204
"89";"13demaio";67;1;"recife";0;4000;0;1;0;61;57;"0";"0";57;46,3245553203368;8,29405345259476;8,29405320259568;3,60205999132796
"90";"13demaio";49;1;"recife";1;25000;0;0;0;35;2;"0";"0";2;41;10,1266311598503;10,1266311070503;4,39794000867204
"91";"13demaio";70;1;"camaragibe";0;6000;1;1;1;46;27;"0";"0";27;12;8,69951602598715;8,69951549820991;3,77815125038364
"92";"13demaio";45;1;"recife";1;2300;0;1;1;45;34;"0";"0";34;30;7,74067290849732;7,74067082911776;3,36172783601759
"93";"13demaio";44;1;"recife";1;5000;0;0;1;39;1;"0";"1";1;53,855654600401;8,51719475141502;8,51719323141624;3,69897000433602
"94";"13demaio";40;1;"recife";0;5000;0;1;1;30;59;"1";"0";5,47722557505166;59;8,51719439141552;8,51719555141345;3,69897000433602
"95";"13demaio";43;0;"camutanga";0;200;1;1;1;55;60;"1";"1";7,41619848709566;60;5,29969142210118;5,29981624267177;2,30102999566398
"96";"13demaio";20;0;"olinda";0;600;0;1;0;30;58;"1";"1";5,47722557505166;58;6,39701298507745;6,39709075335026;2,77815125038364
"97";"13demaio";65;1;"recife";0;998;1;1;1;34;26;"0";"1";26;15;6,90578741213792;6,90577938028359;2,99913054128737
"98";"13demaio";58;1;"jaboatao";1;11000;1;1;1;1;58;"1";"1";1;58;9,30565056004497;9,30565103111924;4,04139268515822
"99";"13demaio";39;1;"recife";0;4000;0;1;1;55;63;"1";"1";7,41619848709566;63;8,29405307759612;8,29405357759428;3,60205999132796
"100";"13demaio";19;1;"recife";0;2000;1;1;1;25;47;"1";"1";5;47;7,60090870952255;7,60091420947305;3,30102999566398
"101";"13demaio";21;1;"igarassu";0;1500;0;1;1;18;63;"1";"1";4,24264068711928;63;7,3132283870583;7,31324838669831;3,17609125905568
"102";"13demaio";30;1;"recife";0;1433;0;1;1;53;45;"0";"0";45;48,4807406984079;7,26755123722674;7,26754734151115;3,15624619039734
"103";"13demaio";40;1;"recife";0;2500;1;1;1;22;21;"0";"0";21;27,7958315233127;7,8240495308501;7,82404937085065;3,39794000867204
"104";"13demaio";24;1;"recife";0;2500;1;1;1;50;51;"1";"1";7,07106781186548;51;7,82405401082429;7,824054170823;3,39794000867204
"105";"13demaio";26;1;"camaragibe";1;15000;1;1;1;19;53;"1";"1";4,35889894354067;53;9,61580556452879;9,61580571563987;4,17609125905568
"106";"13demaio";52;1;"recife";0;3800;1;1;1;13;62;"1";"0";3,60555127546399;62;8,24275724599108;8,24276063933407;3,57978359661681
"107";"13demaio";53;0;"abreu e Lima";0;1000;0;0;1;51;54;"1";"1";7,14142842854285;54;6,90780627768168;6,90780927752419;3
