"","ID","parque","cod parque","nquest","idade","sexo","cidade","cod cidade","bairro","cod bairro","estadocivil","racacor","escolar","ocupacao","renda","depend","qdepend","objetivo","distantp","freqvis","tempoestad","tempoatfis","infraestrutura","manutencao","tamanho","sombra","seguranca","iluminacao","ruido","temperatura","qualiar","Influperman","vegetar","vegettemp","vegetruido","vegetinund","moraruido","moratemp","moraqualiar","moraarb","moradren","saudefis","saudemen","nivelstres","exppolatm","exppolson","lance1","resp1","lance2","resp2","bidl","bidh","lnRenda","t1","t2","lnRendat1","lnRendat2","...58"
"930",NA,"lagoaaraca",8,"11",48,2,"recife",101,"imbiribeira",10144,NA,NA,20,2,954,NA,NA,3,290,7,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,19,0,4,19,2.9795483747041,-16,-19,6.86068125147035,6.86068454769008,NA
"931",NA,"lagoaaraca",8,"12",52,1,"recife",101,"imbiribeira",10144,NA,NA,13,2,477,NA,NA,7,1500,1,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,25,1,4.58257569495584,25,2.67851837904011,-21,-25,6.16760878255645,6.16762636095611,NA
"932",NA,"lagoaaraca",8,"13",28,2,"recife",101,"imbiribeira",10144,NA,NA,15,6,477,NA,NA,7,290,7,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1,17,1,3.74165738677394,17,2.67851837904011,-14,-17,6.16757801961349,6.16759120384778,NA
"933",NA,"lagoaaraca",8,"14",60,2,"recife",101,"imbiribeira",10144,NA,NA,15,2,477,NA,NA,2,1500,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,35,0,35,46.3245553203368,2.67851837904011,-40,-35,6.16769227720295,6.16767030560344,NA
"934",NA,"lagoaaraca",8,"15",62,2,"recife",101,"imbiribeira",10144,NA,NA,16,3,477,NA,NA,2,1500,6,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,1,1.73205080756888,5,2.67851837904011,-3,-5,6.16752967593386,6.16753846586763,NA
"935",NA,"lagoaaraca",8,"18",50,1,"recife",101,"imbiribeira",10144,NA,NA,20,6,4270,NA,NA,7,3500,1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1,50,1,6.92820323027551,50,3.63042787502502,-48,-50,8.3593717388229,8.35937184851443,NA
"936",NA,"lagoaaraca",8,"19",48,2,"recife",101,"imbiribeira",10144,NA,NA,16,6,1431,NA,NA,7,770,7,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,1,48,0,6.78232998312527,48,3.15563963375978,-46,-48,7.26615124286313,7.26615221951719,NA
"937",NA,"lagoaaraca",8,"20",73,2,"recife",101,"imbiribeira",10144,NA,NA,20,6,1431,NA,NA,3,290,7,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,0,44,0,44,52.7823299831253,3.15563963375978,-46,-44,7.26615124286313,7.26615026620811,NA
"938",NA,"lagoaaraca",8,"22",22,1,"recife",101,"imbiribeira",10144,NA,NA,16,5,477,NA,NA,2,3500,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1,50,0,6.92820323027551,50,2.67851837904011,-48,-50,6.16772743075808,6.16773621895377,NA
"939",NA,"lagoaaraca",8,"23",43,1,"recife",101,"imbiribeira",10144,NA,NA,8,2,477,NA,NA,2,6000,6,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,10,0,2.82842712474619,10,2.67851837904011,-8,-10,6.16755165062342,6.16756044036403,NA
